key,name,ra,dec,ll,bb,sg_xx,sg_yy,sg_zz,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,velocity_gsr,velocity_lg,ref_vlos,distance,distance_em,distance_ep,distance_modulus,distance_modulus_em,distance_modulus_ep,distance_gc,distance_m31,distance_lg,distance_host,distance_measurement_method,ref_distance,M_V,M_V_em,M_V_ep,mass_stellar,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,mass_HI,mass_HI_ul,host,confirmed_real,confirmed_galaxy,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,rhalf,rhalf_em,rhalf_ep,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,surface_brightness_rhalf,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,ref_structure,ref_structure_king,ref_structure_sersic,metallicity,metallicity_em,metallicity_ep,metallicity_type,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,age,age_em,age_ep,ref_age
antlia_2,Antlia II,143.8079,-36.6991,264.8009334,11.2542678,-74.02,34.73,-93.45,-0.093,0.008,0.008,0.1,0.009,0.009,Pace2022ApJ...940..136P,288.8,0.4,0.4,5.98,0.36,0.37,,49.29,-21.51,Ji2021ApJ...921...32J,124.17,5.04,5.25,20.47,0.09,0.09,125.15,879.41,493.69,125.15,,Vivas2022ApJ...926...78V,-9.73,0.08,0.08,6.13,7.9,0.07,0.07,,,1.99,mw,1,1,10.74,0.08,0.08,Ji2021ApJ...921...32J,104.6,8.6,8.6,3761.92,337.74,352.06,2379.32,247.72,248.01,156.0,2.4,2.4,0.6,0.04,0.04,,30.72,,,,,,,,,,,,,,,,0.027,Putman2021ApJ...913...53P,Ji2021ApJ...921...32J,,,-1.9,0.04,0.04,spectroscopic,-1.9,0.04,0.04,0.34,0.03,0.03,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,
aquarius_2,Aquarius II,338.4813,-9.3274,55.1082438,-53.0084997,8.72,-92.52,54.33,-0.179,0.113,0.119,-0.466,0.095,0.096,Pace2022ApJ...940..136P,-65.3,1.8,1.8,4.7,1.2,1.8,,54.14,101.99,Bruce2023ApJ...950..167B,107.65,3.41,3.53,20.16,0.07,0.07,105.13,726.03,344.53,105.13,,Torrealba2016MNRAS.463..712T,-4.36,0.14,0.14,3.98,6.39,0.34,0.26,,,3.26,mw,1,1,15.8,0.14,0.14,Torrealba2016MNRAS.463..712T,5.1,0.8,0.8,158.77,25.14,25.66,123.69,21.67,21.85,121.0,9.0,9.0,0.39,0.09,0.09,,29.67,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,Torrealba2016MNRAS.463..712T,,,-2.57,0.17,0.17,spectroscopic,-2.57,0.17,0.17,0.36,0.14,0.2,,Bruce2023ApJ...950..167B,,,,,,,,,,,,,,,,
aquarius_3,Aquarius III,357.218,-3.489,87.9166898,-62.0297168,26.07,-78.41,21.98,1.01,0.25,0.25,-0.1,0.2,0.2,Cerny2025ApJ...979..164C,-13.1,0.9,1.0,,,,3.5,95.36,153.63,Cerny2025ApJ...979..164C,85.51,4.22,4.44,19.66,0.11,0.11,85.75,719.96,334.92,85.75,,Cerny2025ApJ...979..164C,-2.5,0.5,0.3,3.23,,,,5.64,,,mw,1,1,17.16,0.5,0.3,Cerny2025ApJ...979..164C,2.1,0.5,0.7,51.65,14.77,15.2,36.28,12.68,13.78,119.0,11.0,17.0,0.47,0.28,0.14,,28.87,,,,,,,,,,,,,,,,,,Cerny2025ApJ...979..164C,,,-2.51,0.18,0.18,spectroscopic,-2.51,0.18,0.18,0.45,0.12,0.18,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
bootes_1,Bootes I,210.02,14.5135,358.1019462,69.6365762,-17.5,60.19,21.83,-0.385,0.017,0.017,-1.068,0.013,0.013,Pace2022ApJ...940..136P,103.0,0.4,0.4,4.0,0.3,0.4,,111.95,72.97,Sandford2026ApJ...998...47S,66.37,2.4,2.49,19.11,0.08,0.08,64.0,812.83,426.48,64.0,,DallOra2006ApJ...653L.109D,-6.02,0.25,0.25,4.64,6.38,0.08,0.08,,,2.41,mw,1,1,13.09,0.25,0.25,Munoz2018ApJ...860...66M,9.97,0.27,0.27,192.24,8.63,8.97,160.86,8.04,8.28,6.0,3.0,3.0,0.3,0.03,0.03,,28.58,11.9,1.0,1.0,37.5,0.9,0.9,11.26,0.27,0.27,0.64,0.03,0.03,,,,0.25,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.43,0.04,0.04,spectroscopic,-2.43,0.04,0.04,0.28,0.03,0.03,,Sandford2026ApJ...998...47S,,,,,,,,,,,,,,,,
bootes_2,Bootes II,209.5141,12.8553,353.731375,68.864902,-12.1,37.67,13.14,-2.426,0.077,0.08,-0.414,0.061,0.061,Pace2022ApJ...940..136P,-128.4,0.7,0.7,1.92,0.6,0.77,,-126.19,-167.27,Geha2026ApJ...999..140G,41.69,1.14,1.17,18.1,0.06,0.06,39.51,799.81,412.38,39.51,,Walsh2008ApJ...688..245W,-2.94,0.25,0.25,3.41,5.04,0.38,0.28,,,1.57,mw,1,1,15.16,0.25,0.25,Munoz2018ApJ...860...66M,3.17,0.42,0.42,38.25,5.12,5.22,33.0,5.03,5.02,-68.0,27.0,27.0,0.25,0.11,0.11,,28.22,2.5,1.47,1.47,12.9,8.1,8.1,3.05,0.45,0.45,0.71,0.43,0.43,,,,0.091,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.51,0.12,0.12,spectroscopic,-2.51,0.12,0.12,0.38,0.09,0.12,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
bootes_3,Bootes III,209.3,26.8,35.405238,75.3534754,-2.44,43.5,16.41,-1.176,0.019,0.019,-0.89,0.015,0.015,Pace2022ApJ...940..136P,189.9,1.8,1.8,5.27,1.67,2.1,,236.06,211.29,Geha2026ApJ...999..140G,46.56,0.43,0.43,18.34,0.02,0.02,45.58,793.22,406.23,45.58,,Carlin2018ApJ...865....7C,-5.74,0.5,0.5,4.53,7.06,0.38,0.27,,,2.03,mw,1,1,12.6,0.5,0.5,Correnti2009MNRAS.397L..26C,40.6,3.8,4.2,548.05,53.54,54.62,447.9,52.43,52.45,279.0,9.0,7.0,0.33,0.09,0.08,,31.09,,,,,,,,,,,,,,,,0.21,Putman2021ApJ...913...53P,Moskowitz2020ApJ...892...27M,,,-2.51,0.09,0.09,spectroscopic,-2.51,0.09,0.09,,,,0.31,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
bootes_4,Bootes IV,233.689,43.726,70.6822501,53.3050038,49.41,153.89,132.4,0.469,0.244,0.18,0.489,0.255,0.256,Pace2022ApJ...940..136P,,,,,,,,,,,208.93,18.38,20.16,21.6,0.2,0.2,207.48,791.95,429.84,207.48,,Homma2019PASJ...71...94H,-5.34,0.17,0.29,4.37,,,,,,,mw,1,0,16.26,0.17,0.29,Homma2024PASJ...76..733H,7.6,0.8,0.8,458.32,61.88,66.99,274.07,41.52,44.98,3.0,4.0,4.0,0.64,0.05,0.05,,30.42,,,,,,,,,,,,,,,,,,Homma2019PASJ...71...94H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bootes_5,Bootes V,213.909,32.914,55.6679502,70.9176811,4.81,92.05,43.35,-0.22,0.05,0.05,-0.28,0.07,0.07,Cerny2023ApJ...953....1C,5.1,13.4,13.4,,,,,81.14,66.21,Smith2023AJ....166...76S,101.86,6.8,7.28,20.04,0.15,0.15,100.68,804.96,422.5,100.68,,Cerny2023ApJ...953....1C,-3.2,0.3,0.3,3.51,,,,,,,mw,1,0,16.84,0.3,0.3,Cerny2023ApJ...953....1C,0.76,0.07,0.08,22.37,2.6,2.82,19.93,2.63,2.74,18.0,13.0,15.0,0.2,0.1,0.1,,26.87,,,,,,,,,,,,,,,,,,Cerny2023ApJ...953....1C,,,-2.85,0.1,0.1,spectroscopic,-2.85,0.1,0.1,,,,,Smith2023AJ....166...76S,-2.2,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,
canes_venatici_1,Canes Venatici I,202.0091,33.5521,74.3042831,79.8287591,16.87,202.63,55.84,-0.096,0.031,0.03,-0.116,0.02,0.02,Pace2022ApJ...940..136P,30.5,0.6,0.6,7.66,0.41,0.44,,80.53,61.53,Geha2026ApJ...999..140G,210.86,5.75,5.91,21.62,0.06,0.06,210.63,853.68,485.75,210.63,,Kuehn2008ApJ...674L..81K,-8.73,0.06,0.06,5.73,7.25,0.05,0.05,,,3.04,mw,1,1,12.89,0.06,0.06,Munoz2018ApJ...860...66M,7.12,0.21,0.21,436.17,17.35,17.85,326.44,15.7,15.89,80.0,2.0,2.0,0.44,0.03,0.03,,27.41,6.7,0.5,0.5,30.9,1.0,1.0,7.67,0.23,0.23,0.78,0.04,0.04,,,,0.104,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.34,0.02,0.02,spectroscopic,-2.34,0.02,0.02,0.19,0.02,0.02,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
canes_venatici_2,Canes Venatici II,194.2927,34.3226,113.5743762,82.7012046,18.59,156.79,25.61,-0.124,0.115,0.117,-0.254,0.08,0.082,Pace2022ApJ...940..136P,-131.8,1.2,1.2,5.28,0.96,1.25,,-96.14,-116.17,Geha2026ApJ...999..140G,159.96,4.36,4.48,21.02,0.06,0.06,160.57,830.45,454.92,160.57,,Greco2008ApJ...675L..73G,-5.17,0.32,0.32,4.3,6.13,0.22,0.19,,,3.38,mw,1,1,15.85,0.32,0.32,Munoz2018ApJ...860...66M,1.52,0.24,0.24,70.33,11.12,11.31,54.04,10.34,10.65,9.0,15.0,15.0,0.4,0.13,0.13,,27.06,0.89,0.65,0.65,5.37,4.0,4.0,1.51,0.23,0.23,0.59,0.49,0.49,,,,0.4,Putman2021ApJ...913...53P,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.85,0.08,0.08,spectroscopic,-2.85,0.08,0.08,0.3,0.05,0.07,,Geha2026arXiv260210202G,,,,,-2.98,0.12,0.12,0.55,0.1,0.12,,Fu2023ApJ...958..167F,,,,
carina_1,Carina,100.4065,-50.9593,260.1059875,-22.2194162,-52.86,-30.63,-86.12,0.532,0.006,0.007,0.127,0.006,0.006,Pace2022ApJ...940..136P,222.9,0.1,0.1,6.6,1.2,1.2,,-6.07,-53.23,Walker2009AJ....137.3100W,105.58,5.26,5.54,20.118,0.111,0.111,107.18,835.05,451.18,107.18,,Karczmarek2015AJ....150...90K,-9.43,0.05,0.05,6.01,7.0,0.18,0.15,,,3.04,mw,1,1,10.688,0.05,0.05,Munoz2018ApJ...860...66M,10.1,0.1,0.1,310.03,15.97,16.1,248.12,13.08,13.34,60.0,1.0,1.0,0.36,0.01,0.01,,26.11,7.97,1.6,1.6,58.4,0.98,0.98,11.43,0.12,0.12,0.94,0.01,0.01,,,,0.42,Putman2021ApJ...913...53P,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-1.8,0.02,0.02,spectroscopic,-1.8,0.02,0.02,0.24,,,,Simon2019ARA&A..57..375S,,,,,,,,,,,,,,,,
carina_2,Carina II,114.1066,-57.9991,269.981634,-17.1398174,-24.19,-8.06,-27.35,1.885,0.019,0.018,0.133,0.019,0.019,Pace2022ApJ...940..136P,477.2,1.2,1.2,3.4,0.8,1.2,,240.21,182.88,Li2018ApJ...857..145L,37.39,0.39,0.4,17.864,0.023,0.023,38.27,801.12,413.45,18.65,,Torrealba2018MNRAS.475.5085T,-4.57,0.1,0.1,4.06,5.91,0.3,0.23,,,2.38,lmc,1,1,13.29,0.1,0.1,Torrealba2018MNRAS.475.5085T,8.69,0.75,0.75,94.26,8.09,8.26,76.52,7.72,7.69,170.0,9.0,9.0,0.34,0.07,0.07,,28.42,,,,,,,,,,,,,,,,0.72,Putman2021ApJ...913...53P,Torrealba2018MNRAS.475.5085T,,,-2.44,0.09,0.09,spectroscopic,-2.44,0.09,0.09,0.22,0.07,0.1,,Li2018ApJ...857..145L,,,,,,,,,,,,,,,,
carina_3,Carina III,114.6298,-57.8997,270.0059987,-16.845838,-18.02,-5.85,-20.34,3.095,0.041,0.04,1.395,0.045,0.045,Pace2022ApJ...940..136P,284.6,3.1,3.4,5.6,2.1,4.3,,47.29,-10.3,Li2018ApJ...857..145L,27.8,1.25,1.31,17.22,0.1,0.1,28.96,794.73,406.85,25.04,,Torrealba2018MNRAS.475.5085T,-2.4,0.2,0.2,3.19,5.72,0.72,0.44,,,2.0,lmc,1,1,14.82,0.2,0.2,Torrealba2018MNRAS.475.5085T,3.75,1.0,1.0,30.02,8.01,8.2,19.51,6.56,7.14,150.0,14.0,14.0,0.55,0.18,0.18,,27.62,,,,,,,,,,,,,,,,0.547,Putman2021ApJ...913...53P,Torrealba2018MNRAS.475.5085T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carina_4,Carina IV,104.046,-63.319,273.6161659,-23.5254069,-69.35,-34.23,-70.59,0.94,0.53,0.54,0.23,0.4,0.41,Tan2026ApJ..1000...46T,,,,,,,,,,,104.71,9.21,4.93,20.1,0.2,0.1,104.56,844.12,459.45,104.56,cmd,Tan2026ApJ..1000...46T,-2.8,0.6,0.4,3.35,,,,,,,mw,1,1,17.3,0.6,0.4,Tan2026ApJ..1000...46T,1.34,0.38,0.56,40.22,14.05,14.74,33.33,12.34,13.5,117.0,68.0,63.0,0.21,0.21,0.27,,28.38,,,,,,,,,,,,,,,,,,Tan2026ApJ..1000...46T,,,-2.0,0.2,0.2,photometric,,,,,,,,,-2.07,,,Tan2026ApJ..1000...46T,-2.0,0.2,0.2,,,,,Tan2026ApJ..1000...46T,12.5,,,Tan2026ApJ..1000...46T
centaurus_1,Centaurus I,189.5908,-40.9043,300.2697883,21.8998551,-104.38,47.17,-27.09,-0.14,0.05,0.05,-0.19,0.04,0.04,Heiger2024ApJ...961..234H,44.8,0.8,0.8,4.2,0.5,0.6,,-143.07,-223.4,Heiger2024ApJ...961..234H,117.71,3.73,3.86,20.354,0.07,0.07,114.13,893.94,505.8,114.13,,MartinezVazquez2021AJ....162..253M,-5.35,0.19,0.19,4.37,6.06,0.13,0.12,,,,mw,1,1,15.0,0.19,0.19,Casey2025ApJ...984..148C,2.6,0.3,0.3,88.6,10.46,10.8,70.97,8.88,8.88,10.0,4.0,4.0,0.36,0.05,0.05,,27.47,,,,,,,,,,,,,,,,,,Casey2025ApJ...984..148C,,,-2.57,0.08,0.08,spectroscopic,-2.57,0.08,0.08,0.38,0.05,0.07,,Heiger2024ApJ...961..234H,,,,,,,,,,,,,,,,
cetus_2,Cetus II,19.47,-17.42,156.4654633,-78.5313393,5.62,-28.93,-5.16,2.844,0.059,0.061,0.474,0.063,0.064,Pace2022ApJ...940..136P,,,,,,,,,,,29.92,2.51,2.74,17.38,0.19,0.19,32.4,761.38,373.69,32.4,,DrlicaWagner2015ApJ...813..109D,0.0,0.68,0.68,2.23,,,,,,2.1,mw,1,0,17.38,0.68,0.68,DrlicaWagner2015ApJ...813..109D,1.9,0.5,1.0,16.26,6.37,6.78,16.26,6.37,6.78,,,,,,,0.4,29.63,,,,,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,DrlicaWagner2015ApJ...813..109D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
columba_1,Columba I,82.85696,-28.04253,231.6332922,-28.8854684,-11.9,-70.2,-168.37,0.169,0.073,0.071,-0.4,0.079,0.079,Pace2022ApJ...940..136P,148.8,2.3,2.3,5.96,1.81,2.78,,-30.58,-47.7,Geha2026ApJ...999..140G,182.81,9.03,9.5,21.31,0.11,0.11,187.35,816.3,446.34,187.35,,Carlin2017AJ....154..267C,-4.2,0.2,0.2,3.91,6.5,0.43,0.29,,,3.72,mw,1,1,17.11,0.2,0.2,Carlin2017AJ....154..267C,2.2,0.2,0.2,116.48,11.9,12.29,97.34,12.31,12.32,24.0,9.0,9.0,0.3,0.1,0.1,,29.31,2.1,0.6,0.6,8.9,2.5,2.5,,,,,,,,,,0.66,Putman2021ApJ...913...53P,Carlin2017AJ....154..267C,Carlin2017AJ....154..267C,,-2.37,0.34,0.35,spectroscopic,-2.37,0.34,0.35,0.71,0.24,0.49,,Fritz2019A&A...623A.129F,,,,,,,,,,,,,,,,
coma_berenices_1,Coma Berenices,186.7454,23.9069,241.8639281,83.6122845,-1.18,42.25,0.1,0.423,0.027,0.026,-1.721,0.024,0.024,Pace2022ApJ...940..136P,93.5,0.6,0.6,3.33,0.46,0.58,,76.46,41.57,Geha2026ApJ...999..140G,42.27,1.53,1.59,18.13,0.08,0.08,43.46,794.85,407.59,43.46,,Musella2009ApJ...695L..83M,-4.29,0.25,0.25,3.95,5.75,0.15,0.13,,,1.77,mw,1,1,13.84,0.25,0.25,Munoz2018ApJ...860...66M,5.64,0.3,0.3,69.14,4.35,4.61,54.94,4.19,4.12,-57.0,4.0,4.0,0.37,0.05,0.05,,27.98,4.25,0.73,0.73,26.1,3.9,3.9,5.63,0.3,0.3,0.93,0.12,0.12,,,,0.14,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.44,0.07,0.07,spectroscopic,-2.44,0.07,0.07,0.26,0.06,0.07,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
crater_2,Crater II,177.31,-18.413,282.9084214,42.0276406,-71.4,82.96,-40.11,-0.072,0.02,0.02,-0.112,0.013,0.013,Pace2022ApJ...940..136P,89.3,0.3,0.3,2.34,0.3,0.42,,-81.18,-156.12,Ji2021ApJ...921...32J,116.57,3.59,3.71,20.333,0.068,0.068,115.5,882.85,495.83,115.5,,Vivas2020MNRAS.492.1061V,-8.18,0.1,0.1,5.51,6.73,0.15,0.13,,,3.46,mw,1,1,12.15,0.1,0.1,Torrealba2016MNRAS.459.2370T,31.2,2.5,2.5,1054.19,88.77,92.14,1054.19,88.77,92.14,,,,,,,0.1,30.5,,,,,,,,,,,,,,,,0.91,Putman2021ApJ...913...53P,Torrealba2016MNRAS.459.2370T,,,-2.16,0.04,0.04,spectroscopic,-2.16,0.04,0.04,0.24,0.05,0.05,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,
